"# of Use","# Terpakai"
"%1$s incl tax.","%1$s termasuk pajak."
"%s - %s","%s - %s"
"%s Item(s)","%s Item"
"%s and above","%s and above"
"(%d)","(%d)"
"(Copy data from: %s)","(Menyalin data dari: %s)"
"* Required Fields","* Kolom harus diisi"
"-- Please Select --","-- Silakan pilih --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 secara standar, jika tidak diatur. Untuk penyegaran instan, Bersihkan Output Tembolok Blok HTML."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Peringatan!</strong> Penerapan MAP secara standar akan menyembunyikan semua harga produk di tampilan depan."
"A group with the same name already exists.","Kelompok dengan nama sama sudah ada."
"A name is required","Sebuah nama diperlukan"
"A product type is not defined for the indexer.","Tipe produk tidak didefinisikan untuk pengindeks."
"ALL GROUPS","SEMUA GRUP"
"AM","AM"
"Action","Aksi"
"Actual Price","Harga Sebenarnya"
"Add","Tambah"
"Add Attribute","Tambah Atribut"
"Add Design Change","Tambah Perubahan Desain"
"Add Group","Tambah Kelompok"
"Add Group Price","Tambah Kelompok Harga"
"Add New","Tambah Baru"
"Add New Attribute","Tambah Atribut Baru"
"Add New Attribute Set","Tambah Set Atribut Baru"
"Add New Group","Tambah Grup Baru"
"Add New Images","Tambah Gambar Baru"
"Add New Option","Tambah Opsi Baru"
"Add New Row","Tambahkan baris baru"
"Add New Search Term","Tambah Istilah Pencarian Baru"
"Add New Set","Tambah Set Baru"
"Add Product","Tambah Produk"
"Add Product To Websites","Tambah Produk ke situs"
"Add Root Category","Tambah Pangkal Kategori"
"Add Subcategory","Tambah Subkategori"
"Add Tax","Tambah Pajak"
"Add Tier","Tambah Tingkatan"
"Add attribute into attribute set","Tambah Atribut kedalam set atribut "
"Add group into attribute set","Tambah grup kedalam set atribut "
"Add new custom option into product","Add new custom option into product"
"Add new values into custom option","Add new values into custom option"
"Add option","Tambah Opsi"
"Add to Cart","Tambah ke keranjang"
"Add to Compare","Tambah untuk membandingkan"
"Add to Wishlist","Tambah ke wishlist"
"Additional Information","Informasi Tambahan"
"Alert Urls","Tanda Urls"
"All","Semua"
"All Product Types","Semua jenis produk"
"All Websites","Semua Situs"
"All products","All produk"
"All products - recently added products, New products - products marked as new","Semua produk - produk baru ditambahkan, Produk baru - produk ditandai sebagai baru"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Semua produk pada set ini akan dihapus! Apakah Anda yakin ingin menghapus set atribut ini? Apakah anda yakin akan menghapus set atribut ini?"
"Allow All Products per Page","Ijinkan semua produk per halaman"
"Allow Dynamic Media URLs in Products and Categories","Ijinkan Dynamic Media URLs pada produk dan kategori"
"Allow HTML Tags on Frontend","Ijinkan HTML Tag pada Frontend"
"Allowed File Extensions","Perluasan file Diijinkan"
"Allowed file extensions to upload","Ekstensi file Untuk diunggah diijinkan"
"Amount","Jumlah"
"An error occurred while adding products to websites.","error terjadi ketika menambahkan produk ke situs."
"An error occurred while clearing comparison list.","error terjadi ketika membersihkan daftar perbandingan."
"An error occurred while deleting this review.","An error occurred while deleting this review."
"An error occurred while removing products from websites.","error terjadi ketika menghapus produk dari situs."
"An error occurred while saving the URL rewrite","error terjadi ketika menyimpan tulis ulang URL"
"An error occurred while saving the attribute set.","error terjadi ketika menyimpan atribut set."
"An error occurred while saving the collection, aborting. Error message: %s","Galat terjadi ketika penyimpanan koleksi, proses dibatalkan. Error message: %s"
"An error occurred while saving the product. ","An error occurred while saving the product. "
"An error occurred while saving the search query.","error terjadi ketika menyimpan pertanyaan yang dicari."
"An error occurred while saving this group.","error terjadi ketika menyimpan grup ini."
"An error occurred while saving this review.","An error occurred while saving this review."
"An error occurred while trying to delete the category.","error terjadi mencoba untuk menghapus kategori."
"An error occurred while updating the product(s) attributes.","error terjadi ketika memperbarui atribut produk."
"An error occurred while updating the product(s) status.","error terjadi ketika memperbarui status produk."
"An invalid group ID is specified, skipping the record.",",ID group tidak berlaku di tentukan, lewati rekaman ."
"An invalid option ID is specified for %s (%s), skipping the record.","Opsi ID tidak valid ditemukan untuk %s (%s), melewati catatan."
"An invalid store was specified.","Sebuah Toko yang tidak valid sudah ditentukan."
"Anchor Custom Text","Anchor Teks khusus"
"Anchor Custom Title","Judul Kustom Anchor"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes."
"Apply MAP (Default Value)","Terapkan MAP (Nilai Default)"
"Apply To","Terapkan ke"
"Approved","Disetujui"
"Are you sure you want to delete this category?","Apakah Anda yakin ingin menghapus kategori ini?"
"Are you sure you would like to remove all products from your comparison?","Apakah anda yakin akan menghapus semua produk dari pertimbangan Anda?"
"Are you sure you would like to remove this item from the compare products?","Apakah Anda yakin akan menghapus barang ini dari produk yang dibandingkan?"
"Are you sure?","Apakah anda yakin?"
"As low as:","Serendah:"
"Assign","Menetapkan"
"Assign product link","Menetapkan tautan produk"
"Assign product to category","Menetapkan kategori produk"
"Assigned Products","Menetapkan Produk"
"Associated Products","Varian"
"Attrib. Set Name","Attrib. Set Nama"
"Attribute ""%s"" is invalid.","Attribute ""%s"" is invalid."
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Information","Informasi Atribut"
"Attribute Model","Model Atribut"
"Attribute Name:","Nama Atribut:"
"Attribute Set","Atur atribut"
"Attribute Sets","Attribute Sets"
"Attribute add","Attribute add"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Silakan gunakan hanya hurup (a-z), Angka (0-9) atau garis bawah(_)pada field ini, karakter pertama harus sebuah hurup."
"Attribute group with the \"/name/\" name already exists","Attribute group with the \"/name/\" name already exists"
"Attribute group with the \/name/\ name already exists","Attribute group with the \/name/\ name already exists"
"Attribute remove","Attribute remove"
"Attribute with the same code already exists","Atribut dengan kode yang sama sudah ada"
"Attributes","Atribut"
"Attrribute names can be specified per store.","Nama atribut dapat ditentukan per toko."
"Autogenerate","Digenerate Otomatis"
"Availability:","Ketersediaan:"
"Back","Kembali"
"Backend Model","Model Backend"
"Backend Table","Tabel Backend"
"Backend Table Title","Judul Tabel Backend"
"Backorders","Backorders"
"Based On","Berdasarkan"
"Before Order Confirmation","Sebelum Konfirmasi Pesanan"
"Best Value","Produk yang dianjurkan"
"Block after Info Column","Blok setelah info halaman"
"Bottom Block Options Wrapper","Pembungkus pilihan blok bawah"
"Bottom/Left","Bawah/Kiri"
"Bottom/Right","Bawah/Kanan"
"Browse By","Telusuri Berdasarkan"
"Bundle Items","Barang-barang bundel"
"Buy %1$s","Beli %1$s"
"Buy %1$s for","Beli %1$s untuk"
"Buy %1$s for %2$s","Beli %1$s untuk%2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Beli %1$s untk %2$s masing masing"
"Cache Lifetime (Seconds)","Masa pakai cache (detik)"
"Cache refresh needed.","Diperlukan perbaruan cache."
"Can be Divided into Multiple Boxes for Shipping","Can be Divided into Multiple Boxes for Shipping"
"Can be used only with catalog input type Dropdown","Hanya dapat digunakan dengan tipe input katalog dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Hanya dapat digunakan dengan tipe input katalog dropdown, banyak pilihan dan harga"
"Can\'t create image.","Bisa\tidak bisa membuat gambar."
"Cancel","Batal"
"Cannot create image.","Tidak bisa membuat gambar."
"Cannot create writeable directory '%s'.","Tidak dapat membuat direktori yang bisa ditulis '%s'."
"Cart Item Attribute","Troli Barang  Atribut"
"Catalog","Katalog"
"Catalog Category (Anchor)","Kategori Katalog (Anchor)"
"Catalog Category (Non-Anchor)","Kategori Katalog (Non-Anchor)"
"Catalog Category (Without Subcategories)","Katalog kategori (Tanpa Subkategori)"
"Catalog Category Link","Tautan Kategori Katalog"
"Catalog New Products List","Katalog Daftar Produk Baru"
"Catalog Price Scope","Katalog Lingkup Harga"
"Catalog Product Compare List","Katalog Daftar Perbandingan Produk"
"Catalog Product Email to a Friend","Email Produk Katalog ke Teman"
"Catalog Product Image Gallery Popup","Katalog Produk Popup Gambar Galeri"
"Catalog Product Link","Katalog Tautan Produk"
"Catalog Product View (Any)","Tampilan katalog Produk (Setiap)"
"Catalog Product View (Configurable)","Tampilan Katalog Produk (dapat dikonfigurasi)"
"Catalog Product View (Grouped)","Tampilan Katalog Produk (Dikelompokan)"
"Catalog Product View (Simple)","Tampilan Katalog Produk (Sederhana)"
"Catalog Product View (Virtual)","Tampilan Katalog Produk (Maya)"
"Catalog Section","Katalog Bagian"
"Catalog Seo Sitemap (Category List)","Katalog Seo Sitemap (Daftar Kategor)"
"Catalog Seo Sitemap (Category Tree)","Katalog Seo Sitemap (Pohon Kategori)"
"Catalog Seo Sitemap (Common)","Katalog Seo Sitemap (Umum)"
"Catalog Seo Sitemap (Product List)","Katalog Seo Sitemap (Daftar Produk)"
"Catalog URL Rewrites","Katalog URL Rewrites"
"Catalog product custom option values API","Catalog product custom option values API"
"Catalog product custom options API","Catalog product custom options API"
"Catalog, Search","Katalog, Pencarian"
"Categories","Kategori"
"Categories Sitemap","Kategori sitemap"
"Category","Kategori"
"Category API","Kategori API"
"Category Data","Data Kategori"
"Category Flat Data","Kategori Flat Data"
"Category Link Block Template","Template Kategori Link Blok "
"Category Link Inline Template","Template kategori Link Segaris"
"Category Products","Produk Kategori"
"Category Top Navigation","Navigasi Top Kategori"
"Category URL Suffix","kategori URL Suffix"
"Category attributes API","Kategori atribut API"
"Category move error","Kesalahan dalam pemindahan Kategori"
"Category move error %s","Category move error %s"
"Category move operation is not possible: parent category is equal to child category.","Tidak bisa memindah kategori: induk kategori sama dengan anak kategori."
"Category move operation is not possible: the current category was not found.","Tidak bisa memindah kategori: kategori sekarang tidak ditemukan."
"Category move operation is not possible: the new parent category was not found.","Operasi pemindahan kategori tidak dimungkinkan: Kategori orangtua baru tidak ditemukan."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategori harus sebuah instant dari  Mage_Catalog_Model_Category."
"Center","Center"
"Change","Perubahan"
"Change or Retrieve attribute store view","Ubah atau Ambil tampilan atribut toko "
"Change status","Ubah status"
"Check items to add to the cart or","Periksa item untuk ditambahkan ke keranjang atau,"
"Choose an Option...","Pilih sebuah opsi..."
"Clear All","Kosongkan Semua"
"Clear Price","Clear Price"
"Click for price","Klik Untuk Harga"
"Close Window","Tutup jendela"
"Collapse All","Tutup semua"
"Comma-separated.","Dipisahkan koma."
"Comparable","Dapat dibandingkan"
"Comparable on Front-end","Dapat dibandingkan dari ujung depan"
"Comparable on the Frontend","Dapat dibandingkan dari antarmuka"
"Compare","membandingkan"
"Compare Products","Membandingkan Produk"
"Conditions Combination","Kombinasi Kondisi"
"Configurable Product","Produk yang dapat dikonfigurasi"
"Configurable Product Settings","Pengaturan Produk Dapat dikonfigurasi"
"Configure Product","Konfigurasi Produk"
"Continue","Lanjutkan"
"Copy From Configurable","Salin Dari Konfigurasi"
"Country/State","Negara/Negara Bagian"
"Create","Buat"
"Create (Upload)","Membuat(Unggah)"
"Create Empty","Membuat Kosong"
"Create Permanent Redirect for URLs if URL Key Changed","Create Permanent Redirect for URLs if URL Key Changed"
"Create Permanent Redirect for old URL","Buat Permanen diarahkan ke URL lama"
"Create Product Settings","Buat Pengaturan Produk"
"Create Simple Associated Product","Buat Varian Produk sederhana"
"Create attribute set based on another set","Create attribute set based on another set"
"Create new attribute","Create new attribute"
"Create new category","Buat Kategori Baru"
"Create new product","Buat Produk Baru"
"Cross-sells","Cross-sells"
"Currently Shopping by:","Sedang Berbelanja oleh:"
"Custom Design","Desain khusus"
"Custom Options","Pilihan Khusus"
"Custom options","Custom options"
"Customer Group","Grup Pelanggan"
"Customers Reviews","Review Pelanggan"
"Customers Tagged Product","Produk hasil Tag Pelanggan"
"Data Type for Saving in Database","Tipe Data untuk disimpan pada Database"
"Date & Time Custom Options","tanggal & Pilihan waktu khusus"
"Date Fields Order","Kolom Tanggal Pesanan"
"Date Subscribed","Tanggal Langganan"
"Datetime","Tanggal waktu"
"Decimal","Desimal"
"Declare attribute value saving scope","Menyatakan lingkup simpanan nilai atribut"
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
"Default Popup Text Message","Pesan Popup Default"
"Default Price","Harga Standar"
"Default Price Navigation Step","Langkah Navigasi Harga Standar"
"Default Qty","Jumlah Standar"
"Default Values","Nilai Standar"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Delete","Hapus"
"Delete Attribute","Hapus Atribut"
"Delete Attribute Set","Hapus Set Atribut"
"Delete Category","Hapus Kategori"
"Delete Group Price","Delete Group Price"
"Delete Option","Hapus Opsi"
"Delete Row","Hapus Deret"
"Delete Search","Hapus Pencarian"
"Delete Selected Group","Hapus Kelompok Terpilih"
"Delete Tier","Delete Tier"
"Delete attribute","Delete attribute"
"Delete category","Hapus Kategori"
"Delete product","Hapus Produk"
"Depends on design theme","Tergantung Dari Desain Tema"
"Design","Desain"
"Details","Detil"
"Disabled","Non aktif"
"Disallowed file type.","Tipe file tak diijinkan."
"Display Actual Price","Tampilkan Harga Sebenarnya"
"Display Page Control","Display Page Control"
"Display Price Interval as One Price","Display Price Interval as One Price"
"Display Product Count","Display Product Count"
"Display Type","Display Type"
"Display in Suggested Terms","Tampilan di dalam Istilah yang disarankan"
"Double click on a group to rename it","Dobel klik on dalam grup untuk menamai ulang"
"Double click on above image to view full picture","Dobel klik pada gambar di atas untuk melihat keseluruhan gambar"
"Downloadable Information","Informasi yang dapat diunduh"
"Duplicate","Duplikat"
"Duplicate amount found.","Duplicate amount found."
"Duplicate website group price customer group.","Duplicate website group price customer group."
"Duplicate website tier price customer group and quantity.","Duplikat situs harga kelompok pelanggan tingkat dan kuantitas."
"Duplicate website, country and state tax found.","Duplikat situs, pajak negara dan negara bagian ditemukan."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Edit","Sunting"
"Edit Attribute Set '%s'","Ubah Set Atribut '%s'"
"Edit Product Attribute","Ubah Atribut Produk"
"Edit Product Attribute ""%s""","Edit Product Attribute ""%s"""
"Edit Search","Ubah Pencarian"
"Edit Search '%s'","Ubah Pencarian '%s'"
"Edit Set Name","Edit Set Nama"
"Email","Surel"
"Email to a Friend","Email ke teman"
"Empty","Kosong"
"Enable MAP","Enable MAP"
"Enable Qty Increments","Aktifkan Qty Increments"
"Enable WYSIWYG","Aktifkan WYSIWYG"
"Enable for reindexing a big number of SKUs.","Enable for reindexing a big number of SKUs."
"Enabled","Aktif"
"Error during retrieval of option value: %s","Terjadi error saat penerimaan nilai pilihan: %s"
"Exclude","Pengecualian"
"Expand All","Perluas semua"
"Failed","Gagal"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Failed to copy file %s. Please, delete media with non-existing images and try again."
"Failed to move file: %s","Gagal untuk memindahkan file: %s"
"Feature Products","Produk Yang ditampilkan"
"Field is not complete","Kolom tidak lengkap"
"File options format is not valid.","Format pilihan file Tidak Berlaku."
"File upload failed","Gagal mengunggah file"
"Filter model name must be declared.","Filter nama model harus dinyatakan."
"Filter must be an object. Please set correct filter.","Filter must be an object. Please set correct filter."
"Filterable (no results)","Dapat Disaring (tidak ada hasil)"
"Filterable (with results)","Dapat Disaring (dengan hasil)"
"First Name","Nama awal"
"Fixed","Tetap"
"For internal use.","Untuk penggunaan internal."
"For the last time placed.","For the last time placed."
"Frontend","Halaman Muka"
"Frontend Model","Model Halaman Muka"
"Frontend Properties","Properti antarmuka"
"Gallery","Galeri"
"General Information","Informasi Umum"
"Get full information about attribute with list of options","Get full information about attribute with list of options"
"Get full information about custom option in product","Get full information about custom option in product"
"Get list of available custom option types","Get list of available custom option types"
"Get list of non-default attributes by product type and attributes set","Get list of non-default attributes by product type and attributes set"
"Get list of possible attribute types","Get list of possible attribute types"
"Get special price","Dapatkah Harga Khusus"
"Global","Global"
"Globally Editable","Dapat diubah secara Global"
"Go to Home Page","Pergi ke beranda"
"Grid","Grid"
"Group add","Group add"
"Group remove","Group remove"
"Grouped Product","Kelompok Produk"
"Groups","Kelompok Pelanggan"
"Home","Beranda"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Jika Kosong, Kategori Nama akan digunakan"
"If empty, the Product Name will be used","Jika Kosong, Nama Produk akan digunakan"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Bila Anda tidak menetapkan sebuah nilai pilihan untuk sebuah tampilan khusus toko maka (Admin) nilai standar akan digunakan. "
"Image","Gambar"
"Image content is not valid base64 data.","Isi gambar tidak berlaku base64 data. "
"Image does not exist.","Gambar tidak ada."
"Image file was not found.","file gambar tidak ditemukan"
"Image type and information need to be specified for each store view.","Tipe gambar dan informasi harus di tetapkan untuk tampilan setiap toko."
"In Cart","Di Cart"
"In Stock","Tersedia"
"In stock","Stok ada"
"Incl. Tax","Incl. Tax"
"Index product and categories URL rewrites","Indek produk dan kategori URL rewrites"
"Index product attributes for layered navigation building","Indek produk atribut bangunan"
"Index product prices","Indek harga produk"
"Indexed category/products association","Asosiasi Kategori pengindekan/produk"
"Info","Info"
"Info Column Options Wrapper","Info kolom Opsi Wrapper"
"Input Type","Masukan Tipe"
"Integer","Bilangan Bulat"
"Interval Division Limit","Interval Division Limit"
"Invalid Tier Prices","Harga tingkat tidak berlaku"
"Invalid attribute %s","Atribut Tidak berlaku %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Pilihan tidak valid untuk atribut atribut yang ditetapkan %s (%s), lewati record."
"Invalid attribute set specified, skipping the record.","Atribut tidak valid ditetapkan, lewati record."
"Invalid block: %s.","Blok tidak Valid: %s."
"Invalid category IDs.","Kategori IDs tidak valid."
"Invalid category.","Kategori tidak valid."
"Invalid image file type.","Tipe file gambar tidak valid."
"Invalid image type.","Tipe Gambar Tidak Berlaku."
"Invalid option ID specified for %s (%s), skipping the record.","Opsi ID tidak valid ditentukan %s (%s), lewati record."
"Invalid product type specified, skipping the record.","Tipe produk tidak valid ditentukan, lewati record."
"Invalid store specified","Toko yang ditentukan tidak valid"
"Invalid store specified, skipping the record.",""Toko yang ditentukan tidak valid, lewati catatan."
"Invalid tier prices. The product is not associated to the requested website.","Invalid tier prices. The product is not associated to the requested website."
"Inventory","Inventori"
"Is Default","Adalah Patokan"
"Is Required","Diperlukan"
"Items %s to %s of %s total","Barang %s ke %s dari %s total"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items yang tidak anda inginkan untuk tampil pada katalog atau hasil pencarian harus memiliki status 'tidak aktif' pada toko yang diinginkan."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Barang yang tidak ingin anda tampilkan dalam katalog dan pencarian harus memiliki status "Tidak Aktif" pada toko yang diinginkan."
"Keep your eyes open for our special Back to School items and save A LOT!","Jaga mata Anda tetap terbuka untuk Kembali istimewa kami untuk item Sekolah dan menyimpan BANYAK! "
"Label","Label"
"Last Name","Nama akhir"
"Last Notification","Notifikasi AKhir"
"Layered Navigation","Navigasi Berlapis"
"Learn More","Selengkapnya"
"Line %d, Email: %s","Garis %d, Email: %s"
"Line %d, SKU: %s","Garis %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Tautan (Berhubungan, Up sell, Cross sell)"
"Link product does not exist.","Link produk tidak ada."
"Link to a Specified Category","Link ke kategori ditentukan"
"Link to a Specified Product","Link ke produk ditentukan"
"List","Daftar"
"List Mode","Mode Daftar"
"List of Products that are set as New","Daftar produk yang diatur sebagai produk baru"
"List of types","List of types"
"Manage Attribute Sets","Kelola Set Atribut"
"Manage Attributes","Kelola Atribut"
"Manage Catalog Categories","Kelola Kategori"
"Manage Categories","Kelola Kategori"
"Manage Label / Options","Kelola Label / Pilihan"
"Manage Options (values of your attribute)","Kelola Pilihan (nilai dari atribut anda)"
"Manage Product Attributes","Kelola Atribut Produk"
"Manage Product Sets","Kelola Set Produk"
"Manage Products","Kelola  Produk"
"Manage Stock","Kelola Stok"
"Manage Titles (Size, Color, etc.)","Kelola Judul (Ukuran, Warna, dll.)"
"Max Characters","Karakter Maksimuml"
"Maximal Depth","Kedalaman Maksimal"
"Maximum Image Size","Ukuran Gambar Maksimum"
"Maximum Number of Price Intervals","Maximum Number of Price Intervals"
"Maximum Qty Allowed in Shopping Cart","Maksimum Kuantitas yang diperbolehkan dalam cart"
"Maximum allowed image size for '%s' is %sx%s px.","Maximum allowed image size for '%s' is %sx%s px."
"Maximum image height","Tinggi Gambar Maksimum"
"Maximum image width","Lebar Gambar Maksimum"
"Maximum number of characters:","Jumlah karakter maksimum:"
"Maximum number of price intervals is 100","Maximum number of price intervals is 100"
"Media Image","Gambar Media"
"Minimum Advertised Price","Harga Jual Minimum"
"Minimum Lines per Page","Minimum garis per halaman"
"Minimum Qty Allowed in Shopping Cart","Minimum Kuantitas yang diperbolehkan dalam cart"
"Minimum Qty for Item\'s Status to be Out of Stock","Jumlah minimum untuk status barang yang akan habis"
"Missing SKU, skipping the record.","SKU Hilang, lewati record."
"More Views","Gambar Selengkapnya"
"Move","Pindah"
"Move category in tree","Pindahkan kategori pada pohon"
"Multi update product","Multi update product"
"Must be in the allowed values list.","Harus dalam daftar nilai yang diperbolehkan. "
"N/A","N/A"
"Name","Nama"
"Name in %s","Nama Pada %s"
"New Product","Produk Baru"
"New Product Attribute","Atribut Produk Baru"
"New Products","Produk Baru"
"New Products Grid Template","template Kisi Produk Baru"
"New Products List Template","template Daftar Produk Baru"
"New Root Category","Kategori sumber baru"
"New Search","Pencarian"
"New Set Name","Nama Set Baru"
"New Subcategory","Sub Kategori Baru"
"New products","New products"
"Next","Lanjut"
"No","Tidak"
"No image","Tidak ada Gambar"
"No layout updates","Tidak ada Perbaruan Tampilan"
