" Copy"," Copy"
"Action","Aksi"
"Add New Template","Tambah Template Baru"
"Add to Queue","Tambah ke Antrian"
"Allow Guest Subscription","Izinkan Tamu Berlangganan"
"An error occurred while saving your subscription.","Galat terjadi ketika menyimpan langganan Anda."
"Are you sure that you want to delete this template?","Apakah anda yakin ingin menghapus template ini?"
"Are you sure that you want to strip all tags?","Apakah Anda yakin bahwa Anda ingin memotong semua tag?"
"Back","Kembali"
"Cancel","Batal"
"Cancelled","Dibatalkan"
"Cannot mark as received subscriber.","Tidak dapat menandai sebagai penerima langganan."
"Confirmation Email Sender","Konfirmasi Surel Pengirim"
"Confirmation Email Template","Konfirmasi Templat Surel"
"Confirmation request has been sent.","Permintaan konfirmasi telah dikirim."
"Convert to Plain Text","Konversi ke Teks Biasa "
"Create Newsletter Template","Buat Templat Buletin"
"Customer","Pelanggan"
"Customer First Name","Nama Awal Pelanggan"
"Customer Last Name","Nama Akhir Pelanggan"
"Customer My Account Newsletter Subscriptions","Pelanggan My Account berlangganan buletin"
"Date Added","Tanggal Ditambahkan"
"Date Updated","Tanggal Diperbarui"
"Delete","Hapus"
"Delete Selected Problems","Hapus Masalah yang dipilih"
"Delete Template","Hapus template"
"Do you really want to cancel the queue?","Apakah Anda benar-benar ingin membatalkan antrian?"
"Duplicate template code.","Duplikasi kode templat."
"Edit Newsletter","Sunting Buletin"
"Edit Newsletter Template","Sunting template buletin"
"Edit Queue","Sunting antrian"
"Edit Template","Sunting template"
"Email","Surel"
"Enter your email address","Masukan alamat surel anda"
"Error Code","Kode Galat"
"Error Text","Teks Galat"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Tamu"
"ID","ID"
"Invalid queue selected.","Antrian yang dipilih tidak valid."
"Invalid subscription ID.","ID berlangganan tidak valid."
"Invalid subscription confirmation code.","Kode konfirmasi berlangganan tidak valid."
"Message","Pesan"
"Need to Confirm","Perlu konfirmasi"
"New Newsletter Template","Templat Buletin Baru"
"New Template","Templat Baru"
"Newsletter","Buletin"
"Newsletter Message Preview","Tinjau Pesan Buletin"
"Newsletter Problem Reports","Laporan Masalah Buletin"
"Newsletter Queue","Antrian Buletin"
"Newsletter Section","Bagian buletin"
"Newsletter Sign-up:","Daftar Buletin:"
"Newsletter Styles","Gaya Buletin"
"Newsletter Subscribers","Pelanggan Buletin"
"Newsletter Subscription","Pendaftaran Buletin"
"Newsletter Subscription Form Before","Form berlangganan buletin sebelumnya"
"Newsletter Subscriptions","Berlangganan Buletin"
"Newsletter Templates","Templat Buletin"
"Newsletter subscription confirmation","Konfirmasi berlangganan buletin"
"Newsletter subscription success","Berlangganan buletin sukses"
"Newsletter unsubscription success","Berhenti berlangganan buletin sukses"
"No Templates Found","Tidak ada templat yang ditemukan"
"No problems found.","Tidak ada masalah ditemukan."
"No subscribers selected.","Tidak ada pelanggan terpilih."
"Not Activated","Tidak Diaktifkan"
"Not Sent","Tidak terkirim"
"Pause","Jeda"
"Paused","Dijeda"
"Please enter a valid email address.","Masukan alamat surel yang valid."
"Please enter new template name","Masukan nama template baru"
"Please refer to exeption.log","Silakan merujuk ke exeption.log "
"Please select subscriber(s)","Silakan pilih pelanggan"
"Preview","Tinjauan"
"Preview Template","Tinjauan Templat"
"Processed","Diproses"
"Queue Date Start","Tanggal Mulai Antrian "
"Queue Finish","Antrian selesai"
"Queue Information","Informasi Antrian"
"Queue Newsletter...","Antrian Buletin..."
"Queue Start","Mulai Antrian"
"Queue Subject","Subjek Antrian"
"Recipients","Penerima"
"Reset","Set ulang"
"Resume","Ringkasan"
"Return HTML Version","Return HTML Version"
"Save As","Save As"
"Save Newsletter","Simpan Buletin"
"Save Template","Simpan Template"
"Save and Resume","Simpan dan Lanjutkan"
"Selected problem subscribers have been unsubscribed.","Pelanggan bermasalah Terpilih telah berhenti berlangganan."
"Selected problems have been deleted.","Masalah yang dipilih telah dihapus."
"Sender","Pengirim"
"Sender Email","Email pengirim"
"Sender Name","Nama pengirim"
"Sending","mengirim"
"Sent","terkirim"
"Sign Up for Our Newsletter:","Daftar untuk buletin kami:"
"Sign up for our newsletter","Daftar untuk buletin kami"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>."
"Start","Mulai"
"Status","Status"
"Store","Toko"
"Store View","Tampilan toko"
"Subject","Subyek"
"Submit","Mengajukan"
"Subscribe","Berlangganan"
"Subscribed","Berlangganan"
"Subscriber","Pelanggan"
"Subscribers","Pelanggan"
"Subscribers From","Pelanggan Dari"
"Subscription Options","Pilihan Langganan"
"Success Email Sender","Pengirim Email Sukses"
"Success Email Template","template Email Sukses"
"Template Content","Isi template"
"Template Information","Informasi template"
"Template Name","Nama template"
"Template Styles","Template Styles"
"Template Subject","Subyek template"
"Template Type","Jenis template"
"Thank you for your subscription.","Terimakasih Anda telah berlangganan."
"The subscription has been removed.","Berlangganan telah dihapus."
"The subscription has been saved.","Berlangganan telah disimpan."
"There was a problem with the subscription.","Ada masalah dengan berlangganan."
"There was a problem with the subscription: %s","Ada masalah dengan berlangganan: %s"
"There was a problem with the un-subscription.","Ada masalah dengan berhenti berlangganan ."
"This email address is already assigned to another user.","Alamat email ini sudah ditetapkan ke pengguna lain."
"Type","Jenis"
"Unconfirmed","belum dikonfirmasi "
"Unsubscribe","Berhenti berlangganan"
"Unsubscribe Selected","Berhenti berlangganan dipilih"
"Unsubscribed","Berhenti berlangganan"
"Unsubscription Email Sender","Berhenti berlangganan pengirim email"
"Unsubscription Email Template","Berhenti berlangganan template email"
"View Newsletter","Lihat buletin"
"Website","Situs"
"You have been unsubscribed.","Anda telah berhenti berlangganan."
"Your subscription has been confirmed.","Keberlangganan Anda telah dikonfirmasi."
